policy,occlusion,episodes,success_rate,mean_final_error,identity_swap_rate,mean_search_steps,mean_proxy_uncertainty
visible_only,short,600,1.0,0.009796559017781627,0.0,8.0,1.0
last_seen_belief,short,600,0.9883333333333333,0.009454861548960867,0.24,0.7983333333333333,0.07999999999999889
persistent_goal_proxy,short,600,1.0,0.007080370264432808,0.0,0.0,0.039999999999999446
visible_only,medium,600,1.0,0.00912949852795116,0.0,13.0,1.0
last_seen_belief,medium,600,0.9633333333333334,0.015064718083748095,0.43166666666666664,1.2516666666666667,0.07999999999999889
persistent_goal_proxy,medium,600,1.0,0.006510293674644576,0.0,0.0,0.039999999999999446
visible_only,long,600,0.9566666666666667,0.02135429346803482,0.0,19.0,1.0
last_seen_belief,long,600,0.8716666666666667,0.041715731514147945,0.575,1.9383333333333332,0.07999999999999889
persistent_goal_proxy,long,600,1.0,0.007383109259901668,0.0,0.0,0.039999999999999446
